c14jmt, 1000, 60, 50, [4], 171212.63620913724, 0.2902775000833083, 6.999732834624632, 6.827202963747022, 6.981460023174971, 7.234915055653193, 147.11979316288424, 146.79295654643568, 148.19277483649952, 147.62835491000948, 7.010827719299955, 147.4334698639572
c14jmt, 1000, 60, 100, [4], 258418.35357624828, 0.43812790523316836, 6.857559730074776, 7.284273440418379, 6.902294596595114, 7.314410480349346, 218.79792441746622, 221.7189766317486, 222.67879149274498, 213.90007852375342, 7.089634561859404, 219.27394276642832
c14jmt, 1000, 60, 150, [4], 192630.15843926495, 0.32658921718896644, 7.0511323838431, 6.943356825894022, 7.364847218594933, 6.820319849482597, 492.56945491082644, 559.5079943899018, 541.20890893713, 483.0749621403332, 7.044914069453664, 519.0903300945479
c14jmt, 1000, 60, 200, [4], 225630.22690167592, 0.38253822649074287, 7.442709389576151, 6.91418408181414, 6.1964403427818056, 7.180209171359614, 571.6115249780894, 636.6665870551708, 630.6615132349497, 567.2342361863489, 6.933385746382927, 601.5434653636397
c14jmt, 1000, 60, 250, [4], 254853.16502073378, 0.43208340966243114, 6.906423331544105, 7.016856134849078, 6.710756662127991, 6.814095649047106, 644.9753988083797, 713.7384064080944, 696.1094662218516, 638.1543507621069, 6.86203294439207, 673.2444055501081
c14jmt, 1000, 60, 300, [4], 268028.3045570337, 0.45442081800169826, 6.9325573433755565, 7.141539029341207, 6.691244239631336, 7.2587532023911185, 744.6889828949788, 806.4465421303656, 806.7376531015409, 740.7366482504605, 7.006023453684804, 774.6524565943364
c14jmt, 1000, 60, 350, [4], 319278.4559276591, 0.5413114012445392, 7.021337946943483, 10.071832492740333, 7.286056253740275, 6.834636547929337, 735.0251201736703, 775.2051325628823, 755.4821687913507, 730.0648119365869, 7.803465810338357, 748.9443083661226
c14jmt, 1000, 60, 400, [4], 414077.1778018138, 0.702035145741465, 6.981239340534394, 7.102656461053579, 6.585393642474649, 7.820102052925122, 654.5188852218555, 646.4812795347146, 657.2660080497621, 679.8565911431514, 7.122347874246936, 659.5306909873709
c14jmt, 1000, 60, 450, [4], 410318.71315815765, 0.6956629658307523, 7.233273056057866, 6.510090069547372, 7.268198799954716, 11.804901036757776, 742.391081871345, 751.1880487804879, 736.0323525821024, 751.5944429601924, 8.204115740579432, 745.3014815485319
c14jmt, 1000, 60, 500, [4], 414814.57813280076, 0.7032853497531479, 7.25651732310123, 6.790335508988893, 7.20009028326374, 9.503562399448402, 826.2355804331954, 840.5007371007371, 825.6284810896267, 836.6827936507937, 7.687626378700566, 832.2618980685882
